Tier,State,Type,Firm,City,Decision-maker,Contact,Fit,Notes
OK-tier,MS,Firm,Kelly McElhaney CPA,Ocean Springs,Kelly McElhaney,find manually,Business-entity,Ocean Springs firm offering proactive business tax planning; site returned 403 and no email was verifiable. Gulf Coast hurricane zone.
Solo (individual),MT,Firm,Morrison CPA P.C. (Big Sky CPA),Billings,Michael D. Morrison,contact form,Business-entity,"Billings; Michael D. Morrison CPA; small biz accounting, outsourced CFO, industry-specific (restaurants, construction, real estate); site shows phone only, no email"
OK-tier,MT,Firm,"Boyle, Deveny & Meyer PC",Missoula,,contact form,Business-entity,"Missoula CPAs; accounting, personal & commercial tax, financial consulting; site has contact form, no email shown"
OK-tier,MT,Firm,Loucks & Glassley,Great Falls,,find manually,,"Great Falls CPAs since 1976; site states 'Currently not accepting new clients' - low priority; phone only, no email"
OK-tier,MT,Firm,Neil & Company CPAs P.C.,Bozeman,,contact form,Business-entity,"Bozeman firm since 1976, three CPAs + staff; tax planning/prep, financial statements, bookkeeping, business & retirement plan consulting; site form only"
OK-tier,MT,Firm,Mark Rule & Company,Butte,,find manually,,Butte CPA & advisory firm; directory listing 403'd and site email not surfaced - verify manually
OK-tier,MT,Firm,"Stahlberg, Manuel & Associates, P.C.",Kalispell,Steve Stahlberg,find manually,Business-entity,"Kalispell (Flathead) since 1999; Steve Stahlberg & Jessica Manuel; business & individual tax, controller services, payroll; email cloudflare-obfuscated on site"
Shortlist (multi-state),MT,Firm,DTB Certified Public Accountants,Kalispell,,contact form,Multi-state,"Offices Kalispell & Missoula MT plus Liberty Lake WA - multi-state; tax strategy/planning, CFO advisory, tax reduction for business owners; site phone only"
OK-tier,MT,Firm,Whitefish Tax & Consulting PC,Whitefish,Mike Rossi,find manually,Business-entity,"Whitefish; partners Mike Rossi CPA & Kris Fuehrer CPA; full tax compliance for businesses & individuals, small/mid-size focus; no email on site (contact page has none)"
Solo (individual),MT,Firm,"Emmons & Company, PC",Miles City,Philip Emmons,find manually,Business-entity,"Miles City (eastern MT); Philip Emmons CPA; full tax & accounting serving farmers, ranchers, small business owners; site email not surfaced"
Solo (individual),MT,Firm,Russel J Spika CPA,Lewistown,Russel J Spika,find manually,Business-entity,Lewistown; full-service CPA firm licensed in MT; tax & business consulting; site repeatedly failed to load an email - verify manually
Solo (individual),MT,Firm,"Wangerin CPA & Wangerin EA, LLP",Deer Lodge,James C. Wangerin,find manually,Business-entity,"Deer Lodge; James C. Wangerin CPA/PFS (Jim) & Walter A. Wangerin EA (Andy); income tax prep + IRS resolution/exam representation; site phone only, no email"
Solo (individual),MT,Firm,"Scharfe, Kato & Co., PC",Havre,,find manually,Business-entity,"Havre (Hi-Line, north-central MT); accounting, tax prep, payroll, consulting for individuals & businesses along the Montana Hi-Line; site email JS-protected"
OK-tier,NC,Firm,Fedyshyn CPA Group PLLC,Shelby,,contact form,Business-entity,"800 S Lafayette St Shelby NC; full-service CPA; site shows no literal email, contact form only"
Solo (individual),NC,Firm,"Mason L. Spruill, CPA",Elizabeth City,Mason L. Spruill,find manually,,Elizabeth City NC CPA (Pasquotank County) - coastal/NE NC hurricane FEMA-prone; no literal email surfaced in snippet
OK-tier,ND,Firm,Souris Valley Accounting & Consulting PLLC,Minot,Justin Aberle,find manually,Business-entity,Founded by Justin Aberle CPA & Tyson Schatz CPA; Minot lies in the Souris/Mouse River basin hit by the catastrophic 2011 FEMA-declared flood; site 403s and no literal email surfaced
OK-tier,ND,Firm,Team Consulting LLC,Minot,Brad Oothoudt,contact form,Business-entity,"Full-service Minot accounting/tax/consulting firm (Brad Oothoudt, CPA); site has contact form only, no literal email; Souris River flood area"
Solo (individual),ND,Individual,Craig S Hanson CPA,Jamestown,Craig Hanson,contact form,Business-entity,"Full-service Jamestown firm doing tax for businesses, partnerships, corporations & individuals since 1986; A+ BBB; site shows contact form only"
OK-tier,ND,Firm,Krumm & Associates CPAs,Bismarck,,find manually,Business-entity,Full-service tax/accounting/consulting firm in Bismarck; contact page routes through a SecureSend form and no literal email is published
OK-tier,ND,Firm,RJH & Associates Ltd (Hulsing CPA),Dickinson,,find manually,Business-entity,"Dickinson firm offering tax, small-business accounting, part-time CFO, IRS relief; homepage shows phone only, no literal email"
Solo (individual),ND,Individual,Fritz Nelson LLC,Grand Forks,Matthew Komprood,contact form,Business-entity,"Owner Matt Komprood CPA (since 2010); small-business & agricultural tax in Grand Forks; site uses a contact form, no literal email shown"
Solo (individual),ND,Individual,Ewert CPA PC,Devils Lake,Jonathan Ewert,find manually,Business-entity,"Jonathan G. Ewert CPA serves Devils Lake small businesses; PTIN-listed; no literal email published, phone only"
Solo (individual),ND,Individual,GLG Accounting & Tax PC,Mandan,Mark Geiger,find manually,Business-entity,"CPA practice in Mandan (Mark Geiger); tax prep, planning, bookkeeping; no literal email surfaced in listings"
Solo (individual),ND,Individual,James Lochow CPA,Valley City,James Lochow,find manually,,"Valley City chamber CPA listing (164 E Main St); phone only, no email published"
Solo (individual),ND,Individual,Brenda Laub CPA Inc,Valley City,Brenda Laub,find manually,,"Valley City chamber CPA listing (202 Central Ave S); phone only, no email published"
Solo (individual),ND,Individual,Craig S Hanson CPA,Jamestown,Craig S. Hanson,contact form,Business-entity,"Solo CPA; business, partnership & corporation tax prep; contact form only"
OK-tier,ND,Firm,Fritz Nelson LLC,Grand Forks,Matt Komprood,contact form,Business-entity,Small biz & agricultural taxation; Grand Forks — Red River Valley flood zone; no published email
OK-tier,ND,Firm,Overmoe & Nelson Ltd,Grand Forks,,find manually,Business-entity,Small-biz tax/accounting/advisory; Grand Forks — Red River Valley flood zone; phone/form only
OK-tier,ND,Firm,"Reliance Associates, PLLC",Fargo,Amy,contact form,Business-entity,"Small-biz accounting/tax/advisory; Fargo — Red River Valley flood zone; email obfuscated, form only"
Shortlist (multi-state),NE,Firm,Woods & Durham Chartered,Holdrege,Jodi M. Eckhout,find manually,Business-entity,"Tax, trust & estate planning, review/compilation, mgmt advisory; partners Eckhout/Rosenthal/Wheeler CPAs; offices Holdrege NE + Salina/Beloit/Clay Center KS; no email published"
Shortlist (multi-state),NE,Firm,Contryman Associates,Hastings,Andrew Wichelt,contact form,Business-entity,"Business tax, ag/farm accounting, business valuations, succession planning; shareholder Andrew Wichelt CPA; offices Hastings/Grand Island/Kearney/Lexington/Scottsbluff/Central City/Geneva NE; email via team-member link only"
OK-tier,NE,Individual,"Lisa A. McDonald, CPA",Lincoln,Lisa A. McDonald,contact form,Multi-state,"Tax prep for corporations, partnerships, LLCs, trusts & nonprofits; multi-state income tax filings; small business accounting; 6301 Orchard St Lincoln NE; no email published"
OK-tier,NE,Firm,Labenz & Associates LLC,Lincoln,,contact form,Business-entity,"Est. 1998; tax/accounting/consulting for closely-held businesses, financial institutions & fiduciaries; business valuations, litigation support; 8555 Pioneers Blvd Lincoln NE; no email published"
OK-tier,NE,Firm,"Shotkoski & Associates, PC",York,Thomas E. Shotkoski,contact form,Business-entity,"Founded 1987; accounting, audit representation, tax & corporate finances for small business; offices York + Lincoln NE; no email published"
OK-tier,NE,Firm,"Bryant & Associates, P.C.",Lincoln,Kim Bryant,contact form,Business-entity,"Since 2001; small business accounting packages, tax prep/planning, payroll, business consulting; owners Kim Bryant CPA & Zach Bryant; Lincoln + Beatrice NE; no email published"
OK-tier,NE,Individual,"Steve Eriksen CPA, LLC",Grand Island,Steve Eriksen,find manually,Business-entity,Individual 1040 to corporate & partnership returns; small business tax/accounting; 3306 W Capital Ave Grand Island NE; on-site email obfuscated
OK-tier,NE,Firm,Nichols Rise & Company,South Sioux City,,contact form,Business-entity,"Audit, individual & corporate taxes, tax planning/prep, business valuation, nonprofit & local-government financials; offices South Sioux City NE + Sioux City IA; no email published"
OK-tier,NE,Firm,"AMGL, P.C.",Grand Island,,contact form,Business-entity,"CPAs & advisors; accounting/bookkeeping, payroll & tax compliance, tax planning/prep, business consulting, assurance; 3123 W Stolley Park Rd Grand Island NE; no email published"
OK-tier,NE,Firm,"Bryant & Associates, P.C.",Lincoln,,contact form,Business-entity,Small-business focus since 2001; Lincoln & Beatrice; site blocked fetch so email unconfirmed
Solo (individual),NE,Individual,"Thomas S. Thomas, CPA",Papillion,Tom Thomas,contact form,Business-entity,"Solo CPA since 1984; small business accounting, tax planning, outsourced CFO; Papillion (Omaha suburb)"
OK-tier,NE,Firm,CORE CPAs,Hastings,Jeremy Evans,contact form,Business-entity,Shareholders Evans/Jacobitz/Klabenes/Frew; ag + small business tax; Hastings & Kearney; no email published
Solo (individual),NE,Individual,Husker Tax,Bellevue,,contact form,Business-entity,Business income tax + CFO advisory; Bellevue (Omaha metro); email obfuscated
OK-tier,NM,Firm,"Ebbs, Roberts, Head & Daw Inc.",Las Cruces,,contact form,Business-entity,"Established Las Cruces CPA firm; tax & accounting services; no published email on site, web contact only"
OK-tier,NM,Individual,David Fritschy CPA,Carlsbad,David Fritschy CPA,find manually,Business-entity,"Individual/partnership/corporate tax prep, payroll, nonprofit audits, bookkeeping, business consulting, estate planning; Carlsbad NM; no published email (phone 575-234-1612)"
OK-tier,NM,Individual,Kelly Tax & Accounting Services,Las Cruces,,find manually,Business-entity,"Income, small-business, corporation & partnership tax prep plus accounting/payroll/bookkeeping; Las Cruces NM; no published email (phone 575-523-5800)"
OK-tier,NM,Firm,"Woodard, Cowen & Co., CPA",Portales,Gayland Cowen CPA,find manually,Business-entity,"Long-established CPA & tax-service firm; also serves Clovis; Portales (Roosevelt County, E NM); no published email (phone 575-356-8564)"
OK-tier,NM,Individual,Danny N. Barrett CPA,Hobbs,Danny N. Barrett CPA,find manually,Business-entity,"NM CPA (lic. 3255); tax prep/planning, consulting, business planning & auditing for individuals & small businesses; Hobbs (Lea County, SE NM oil country); no published email (phone 575-393-6431)"
OK-tier,NM,Firm,Swain & Grieco LLC,Santa Fe,Michael D. Swain CPA,contact form,Business-entity,"Small firm; audit/tax/advisory for business, estates, trusts, nonprofits; no published email, web form only"
OK-tier,NM,Individual,Gary W. Thompson CPA PC,Ruidoso,Gary W. Thompson,find manually,Business-entity,Tax prep/planning/bookkeeping; Ruidoso 2024 wildfire/flood zone; no published email found (phone 575-258-0059)
OK-tier,NV,Firm,"Layton, Layton & Tobler",Las Vegas,,contact form,Business-entity,"Contact page has web form only (no email shown); Las Vegas NV since 1971; tax planning/prep, accounting, auditing; Certified Fraud Examiner on staff."
OK-tier,NV,Firm,"Ellsworth & Stout, CPAs",Las Vegas,,find manually,Business-entity,Site shows no literal email (form/phone only); Las Vegas NV; Business Entity Selection consulting; partner involvement emphasized. Phone (702) 871-2727.
Solo (individual),NV,Firm,Mark Sherman CPA,Las Vegas,Mark Sherman,find manually,,Contact page shows no literal email (phone/form only); 3210 W Charleston Blvd Las Vegas NV; small business incorporation and tax; phone 702-645-6318.
Solo (individual),NV,Firm,"Kim Walker, CPA",Las Vegas,Kim Walker,find manually,,"Contact page shows no literal email; 9670 W Tropicana Ave Las Vegas NV; serves small business community of S. Nevada, W. Arizona, S. California; 45 yrs experience."
OK-tier,NV,Firm,Rand CPAs,Reno,John D. Rand,find manually,Business-entity,Site shows no literal email (form only); 9190 Double Diamond Pkwy Reno NV; small and midsized business incorporation services.
OK-tier,NV,Firm,Ludmila CPA,Incline Village,,find manually,Business-entity,Site email is Cloudflare-obfuscated (not literal); offices Incline Village and Reno NV; Small Business Solutions incl multi-state tax compliance.
OK-tier,NV,Firm,Arrighi Blake & Associates LLC,Yerington,,find manually,Business-entity,"Site shows no literal email; offices Yerington and Hawthorne NV; serves corporations, partnerships, LLC/LLP entities, trusts, estates; gaming and agriculture clients."
OK-tier,NV,Firm,"Swensen & Company, CPAs",Winnemucca,,find manually,Business-entity,"Site shows no literal email (phone only); Winnemucca NV (plus MT offices); personal and business tax prep, business startup services; 30+ yrs."
OK-tier,NV,Firm,Glennon & Sandoval Company,Elko,"James Glennon, CPA",find manually,,Site shows no literal email (contact form/phone); 475 Railroad St Elko NV; professional tax and accounting firm; CPAs James Glennon and Bernardo Sandoval.
Solo (individual),NV,Firm,Anderson & Company CPA,Pahrump,,find manually,,"Site shows no literal email (phone/form); 1241 Daytona St Pahrump NV; free consultation, IRS representation for audits, liens, installment agreements."
Shortlist (multi-state),NY,Firm,Piaker & Lyons,Binghamton,,contact form,Multi-state,Largest CPA firm in NY's Southern Tier; serves small local businesses to multi-state corporations; contact form only; Susquehanna River flood zone
Shortlist (multi-state),NY,Firm,"Saxton, Kocur & Associates, LLP",Jamestown,,contact form,Business-entity,"Audit/attestation, tax prep, business accounting & payroll; Jamestown (Chautauqua Co.); contact form only"
OK-tier,NY,Firm,"Kopin & Company, CPA, PC",Buffalo,Marion Kopin,contact form,Business-entity,"Business tax prep, planning, incorporation, international tax for small/mid-size businesses; Buffalo; email not published, contact form"
OK-tier,NY,Firm,Campagnolo Bonk CPAs,Buffalo,,find manually,Business-entity,"Accounting, tax guidance, outsourced CFO for small businesses/start-ups; serves Buffalo, Niagara Falls, Amherst, Williamsville; email not published"
OK-tier,OH,Firm,Payne Nickles & Company,Norwalk,,contact form,Business-entity,"Sandusky & Norwalk OH offices (north-central Ohio) 40+ yrs; accounting, tax planning, business valuations, succession & estate planning; web form only"
Solo (individual),OH,Firm,J. Baker CPA,Fremont,Jodi Baker,find manually,Business-entity,"Fremont (Sandusky County, Sandusky River flood-prone); small/mid business accounting, bookkeeping, tax prep, payroll, QuickBooks; 30+ yrs — no email on site, phone only"
OK-tier,OH,Firm,Custom Professional Accounting,Marion,Megan Wilson,find manually,Business-entity,"Marion (central Ohio); tax filing & planning, business/charity accounting, payroll; 30+ yrs — no email published on site, phone only"
Solo (individual),OK,Individual,"Chris Caldwell CPA, PLLC",Lawton,Chris A. Caldwell,contact form,,"No email published on caldtax.com; web contact form only. Tax prep, accounting, tax resolution, IRS audit representation. Lawton SW OK."
OK-tier,OK,Firm,"Angel, Johnston & Blasingame, P.C.",Chickasha,,find manually,Business-entity,"No email on ajb-cpas.com; 9 CPAs. Entity selection/restructuring, assurance/audit, estate & trust, payroll. Chickasha (405) 224-6363."
Solo (individual),OK,Individual,"DC CPAs, PLLC",Duncan,Tiffany Davidson,find manually,Business-entity,"No email published on dccpasfirm.com; personal/fiduciary/corporate income tax, oil & gas / ag / manufacturing industry guidance. Duncan (580) 252-6394."
OK-tier,OK,Firm,Ward & Company PLLC,Tulsa,,find manually,Business-entity,"No email on wardcocpas.com; individual & business tax, IRS lien resolution, business valuation. South Tulsa since 1977. Phone (918) 481-3344."
OK-tier,OR,Firm,WWC Business Solutions,Astoria,Mark Redwine,contact form,Business-entity,"Full-service firm; income tax prep & planning + accounting + financial planning for businesses & individuals; serves Columbia/Clatsop/Pacific counties; 1024 Marine Dr, Astoria; web form only, no email published"
Solo (individual),OR,Individual,"Oren A. Hampton, CPA, LLC",Turner,Oren A. Hampton,find manually,Business-entity,"Business taxation & accounting, tax planning, new business formation, QuickBooks, estate planning; OR & WA licensed; PO Box 738, Turner (serves Salem area); no email published"
Solo (individual),OR,Individual,"Shawn Eichner, CPA",Springfield,Shawn Eichner,find manually,Business-entity,"Individual + business tax returns, bookkeeping, payroll, estate planning, business consulting; 378 Q St, Springfield; no email published on site"
OK-tier,OR,Firm,"Guyer and Associates, CPAs",Baker City,,find manually,Business-entity,OR-licensed CPA firm; Baker City (NE Oregon / Baker County); no email published verbatim on reachable pages
OK-tier,SC,Firm,"TWC CPA, LLC",Columbia,,contact form,Business-entity,"Full-service Columbia CPA firm (audit, tax, accounting, consulting); site has contact form only, no literal email seen"
Solo (individual),SC,Firm,Robert A Keisler CPA PA,Columbia,Robert A Keisler,find manually,,"Business accounting, financial coaching & tax prep; no literal email surfaced in snippet"
OK-tier,SD,Firm,Ketel Thorstenson LLP,Rapid City,,find manually,Business-entity,"Large full-service Rapid City firm serving clients since 1936; contact-page email was masked on site, could not verify literal address"
OK-tier,SD,Firm,WHB Accounting Services LLC,Rapid City,Marcia Pelton,find manually,,"Professional tax and accounting firm, Rapid City; owner Marcia Pelton; site truncated, no literal email surfaced"
OK-tier,SD,Firm,VRS PC,Brookings,,find manually,Business-entity,Full-service accounting firm with Brookings + Watertown + Miller offices in flood-prone eastern SD; site has client portal but no literal email displayed
OK-tier,SD,Firm,TruCount CPA PC,Brookings,,contact form,,"Brookings firm at 2301 Research Park Way offering bookkeeping, payroll, tax prep + advisory; only a web contact form / partial 'e:' field, no literal email"
Solo (individual),SD,Firm,Holmquist CPA PLLC,Brookings,Tyler Holmquist,find manually,Business-entity,"Small Brookings firm (Tyler Holmquist) doing tax prep, virtual CFO for small businesses; site 403'd, no literal email verified"
OK-tier,SD,Firm,"Schaap, Sternhagen & Co. CPA's P.C.",Yankton,,find manually,Business-entity,"Yankton CPA firm at 610 W 23rd St; phone/fax only, no literal email displayed on site"
Solo (individual),SD,Firm,Guthmiller Accounting Ltd,Aberdeen,Wendy J. Guthmiller,find manually,,"Small Aberdeen firm (Wendy Guthmiller), 613 8th Ave NW; PTIN/directory listing but no email verified on firm's own page"
OK-tier,SD,Firm,Carlon & Millar Prof. LLC,Mitchell,Ronald Millar,find manually,Business-entity,"CPA firm with Mitchell + Platte + Armour offices; audits, tax for corps/partnerships/co-ops/trusts; no literal email surfaced"
OK-tier,SD,Individual,Pearson Tax & Accounting Solutions LLC,Yankton,Jason L. Pearson,find manually,Business-entity,CPA firm founded 2013; bookkeeping/tax for business owners; no published email (only aggregator pattern-guess)
Solo (individual),SD,Individual,R & R Accountants,Rapid City,Paul Rodriguez,find manually,Business-entity,"Individual & business tax prep, payroll, QuickBooks; no email published (phone only); Black Hills area"
OK-tier,TN,Firm,"Bancroft, England & Associates, PLLC",Dickson,David H. England,find manually,Business-entity,"Dickson TN (Middle TN region) — Humphreys/Dickson county area hit by Aug-2021 Waverly flood FEMA disaster; contact form only, no literal email on site"
OK-tier,TN,Firm,"Kroeger-Miller CPA, LLC",Alcoa,,find manually,Business-entity,"Alcoa TN (serves Knoxville/Maryville); personal & business tax prep, monthly financial reporting; no literal email on site"
OK-tier,TN,Firm,"Craine, Thompson & Jones, P.C.",Morristown,Hiram H. Jones,contact form,Business-entity,"Morristown (est. 1960) w/ Sevierville office; audit, taxation, not-for-profit; no literal email — web form only"
OK-tier,TN,Firm,"Winnett Associates, PLLC",Shelbyville,,find manually,,Shelbyville TN accounting firm; tax services; site did not expose a literal email (fetch blocked)
OK-tier,TN,Firm,David E Warren CPA,Bristol,David E. Warren,find manually,,Bristol TN full-service tax/accounting/consulting firm; site did not expose a literal email (fetch blocked)
Solo (individual),TN,Firm,Knob Creek Professional Tax Services PC,Johnson City,Richard C. Crain,find manually,Business-entity,Johnson City; owner Richard C Crain CPA; business accounting w/ construction-industry specialty; no literal email on site
OK-tier,TX,Firm,The Burkett Firm,Tyler,Nick Burkett,contact form,Business-entity,"Owner Nick Burkett; site offers ""tax planning, tax preparation, bookkeeping, and business advisory services for your small business."" No email published — contact form only."
Solo (individual),TX,Individual,"Lori Ann Cannon, CPA",Sherman,Lori Ann Cannon,contact form,Business-entity,"""Full-service accounting firm"" for ""business owners, executives & individuals""; accounting, tax prep, financial consulting. No email published — contact form only."
OK-tier,TX,Firm,"McMinn, Pope, Woodfin & Shaw, P.C.",Marshall,Rick McMinn,find manually,Business-entity,"Est. 1994; partners Rick McMinn, Kyle Pope, Nathan Jones, Jordan Shaw. Accounting, tax preparation and auditing. Contact page lists phone (903) 935-1741 but no email."
Shortlist (multi-state),UT,Firm,Carver Florek & James,Layton,,contact form,Multi-state,"Contact page lists offices in Layton UT, Sheridan WY, Gillette WY, Missoula MT; multi-state CPA firm; site shows contact form only, no literal email"
OK-tier,UT,Firm,Butler Tax & Accounting,Salt Lake City,,find manually,Business-entity,SLC tax & accounting firm at 5959 S Redwood Rd; contact page did not load to verify a literal email
OK-tier,UT,Firm,Savage Esplin & Radmall PC,St. George,,find manually,,St. George firm at 20 N Main St #402; contact-page email is Cloudflare-obfuscated (not a verifiable literal string)
OK-tier,UT,Firm,Greg Johnson CPA PC,St. George,Greg Johnson,contact form,,St. George CPA; site shows phone + secure upload but no literal email; St. George FEMA flood/wildfire area
OK-tier,UT,Firm,Rees CPA,Cedar City,,find manually,,"337 S Main St Ste 130, Cedar City; contact.php did not load to verify a literal email"
OK-tier,UT,Firm,Copper Mountain Tax and Accounting,Herriman,,contact form,,"Serves Herriman/Riverton small businesses; site shows phone only, contact form for email"
OK-tier,UT,Firm,"Nathan J. Gleave, CPA, PC",South Jordan,Nathan J. Gleave,contact form,,"South Jordan tax & accounting firm; site shows phone + contact link, no literal email"
OK-tier,UT,Firm,Mason CPA,South Jordan,Steven Mason,contact form,Business-entity,"South Jordan full-service CPA focused on small business & individual taxation; site shows phone/portal only, no literal email"
OK-tier,UT,Firm,"J.L. Johnson, CPA",Tooele,J.L. Johnson,find manually,,"169 N Main St Ste 2, Tooele; est. 1999; site cert mismatch blocked verifying a literal email (snippet suggested info@jljohnsoncpa.com but not confirmed verbatim)"
OK-tier,UT,Firm,Sam Woodruff CPA PC,Tooele,Sam Woodruff,find manually,,"Tooele CPA since 1988 serving Tooele-SLC; contact page returned 404, could not verify literal email"
OK-tier,UT,Firm,Mark Hicken CPA,Roosevelt,Mark Hicken,find manually,,Roosevelt UT tax & bookkeeping for individuals & small businesses; contact page did not load to verify literal email; Uintah Basin rural
OK-tier,UT,Firm,Judd Holdaway & Associates,Vernal,,find manually,Business-entity,Vernal CPA firm 40+ yrs serving individual & business clients; jhatax.com pages did not load to verify a literal email; Uintah Basin rural
OK-tier,UT,Firm,Miller & Company CPAs PLLC,Richfield,,contact form,,"56 N Main St, Richfield (rural central Utah); site uses SecureSend/consultation form, no literal email displayed"
OK-tier,UT,Firm,Larson + Company CPAs,Moab,,contact form,,"285 S 400 E, Moab (rural SE Utah); location page shows phone/hours only, no literal email; Moab near FEMA flood-prone SE Utah"
OK-tier,UT,Firm,Bradshaw Smith & Co,Heber City,Jeffery M. Bradshaw,contact form,,"494 S Main St Ste 210, Heber City; partners Jeffery M. Bradshaw CPA & Jeff Smith CPA; site uses New Client Inquiry form, no literal email"
OK-tier,UT,Firm,"N & D Tax and Advisory, LLC",Park City,,find manually,,"1741 Sidewinder Dr Ste 200, Park City; site shows phone/fax only, no literal email displayed"
OK-tier,UT,Firm,Duke CPA,Eagle Mountain,Jordan Duke,find manually,,Jordan Duke CPA; offices Eagle Mountain & Heber City; site email is Cloudflare-obfuscated (not a verifiable literal string)
OK-tier,UT,Firm,Ulrich & Associates PC,Ogden,Chuck Ulrich,contact form,,"4991 Harrison Blvd, Ogden; Chuck & Mike Ulrich; site shows phone/fax only, no literal email"
Solo (individual),UT,Individual,"Adam Garfield, CPA",Orem,Adam Garfield,contact form,,"175 S Orem Blvd Ste 7, Orem; solo Utah CPA; site shows phone/address only, no literal email"
Shortlist (multi-state),VA,Firm,"Kaelber, Billmyer & Kaelber, LLC",Charlottesville,Henry V. Kaelber CPA,contact form,Multi-state,"Since 1981; individuals, business, trusts & estates; business entity (LLC/partnership/corp), part-time CFO, ""tax compliance across multiple states"". No email on site — web form only"
Shortlist (multi-state),VA,Firm,HBC CPAs,Abingdon,David B. Brown CPA,find manually,Multi-state,"Since 1983; serves individuals/businesses/nonprofits/government/agriculture ""across Virginia, Tennessee, and the Southeast""; partners Brown, Garcia, Pennington. No email published on site. SW VA flood-prone"
OK-tier,VA,Firm,"German P. Culver, Jr., CPA, PC",Culpeper,German P. Culver Jr.,find manually,Business-entity,"Culpeper firm; small business accounting/bookkeeping, tax prep/planning, incorporation, QuickBooks, IRS resolution. Phone only — no email on site"
Solo (individual),VA,Individual,Martha S. Cooper CPA,Martinsville,Martha S. Cooper,find manually,Business-entity,"Personalized tax management, accounting, audits, financial statements for individuals & businesses. No email on site (form/phone). SW VA (Helene 2024 remnants exposure)"
OK-tier,VA,Firm,The Carmack Company,Mechanicsville,,find manually,Business-entity,"Richmond suburb; small business accounting, new business formation, business taxes, tax planning, nonprofits, payroll. No email on site (phone only)"
OK-tier,VA,Firm,Method CPA,Front Royal,,find manually,Business-entity,"Front Royal; corporate tax return filing for small-to-mid corps, bookkeeping, payroll, business consulting, virtual accounting. No email on site (form only). Shenandoah Valley"
Solo (individual),VA,Individual,Kris McMackin CPA PC,Staunton,Kris McMackin,find manually,Business-entity,"Staunton; niches in restaurants/wineries/breweries/B&Bs/farming/nonprofits; bookkeeping, payroll, tax prep, QuickBooks. No email on site (phone only). Shenandoah Valley"
Solo (individual),VA,Individual,Michael S Miller CPA PLLC,Harrisonburg,Michael S Miller,find manually,Business-entity,Harrisonburg + Luray offices; small biz + farm/trucking tax/accounting. No email published on site (phone only). Shenandoah Valley
OK-tier,VA,Firm,"Shackleford & Werthman, CPA's",Lynchburg,,find manually,Business-entity,"Small biz accounting, payroll, succession/new business formation. admin@shackwerth.com seen in a directory snippet but could not confirm on-site — verify before sending"
OK-tier,WA,Firm,Daniel A. Eckman CPA,Vancouver,Daniel A. Eckman,contact form,Business-entity,"Vancouver firm (12503 SE Mill Plain Blvd); business tax, personal tax, bookkeeping, financial reporting; site has contact form only, no literal email shown"
OK-tier,WA,Firm,"Oostra Rouw & Associates, Inc.",Mount Vernon,,find manually,Business-entity,"Mount Vernon (Skagit) firm; tax prep/planning, business accounting, business valuation, QuickBooks; no literal email on site (phone 360-336-1040). Skagit flood-prone"
OK-tier,WA,Firm,"DeFrancisco, Lampitt & Brado, PS",Longview,,find manually,Business-entity,"Longview/Kelso firm 60+ yrs; tax planning & prep, accounting, QuickBooks consulting; contact page shows no literal email (phone 360-423-4520)"
Solo (individual),WA,Firm,Campbell CPA LLC,Moxee,Art Campbell,find manually,Business-entity,"Moxee/Yakima-area firm; agriculture, wineries, construction, manufacturing accounting + IRS resolution; no literal email on site (phone 509-388-2121). Central-WA ag/wildfire region"
OK-tier,WI,Firm,"Burbey CPA, LLC",Manitowoc,"Mark P. Burbey, CPA",find manually,Business-entity,"Accounting, tax prep, payroll & consulting; 1102 S 8th St Manitowoc; contact form only, no published email. Lakeshore E Wisconsin"
Solo (individual),WI,Individual,Frank Sterbin CPA,Racine,"Frank E. Sterbin, CPA",find manually,Business-entity,"Racine CPA since 1981; tax prep, financial statement review, bookkeeping, consulting, business valuation; no published email"
OK-tier,WI,Firm,Bergquist Accounting and Services,Superior,,find manually,Business-entity,"Family-owned since 1983; business accounting, bookkeeping, payroll, business tax planning; no published email. NW Wisconsin (Lake Superior)"
OK-tier,WI,Firm,"Johnson, Agen, Kupferschmidt & Associates Inc.",Rice Lake,"Gerald ""Joe"" Johnson, EA (founder)",find manually,Business-entity,"NW Wisconsin accounting & tax firm; offices in Barron, Cumberland & Rice Lake; no published email"
Solo (individual),WI,Individual,Kippenhan Accounting & Tax Services Ltd.,Wausau,George E. Kippenhan,find manually,,Solo CPA firm founded 2007; small business bookkeeping/financials; no published email. Central WI storm/tornado zone
OK-tier,WI,Firm,"Wisconsin Valley Tax & Accounting, S.C.",Stevens Point,,find manually,,Locally-owned CPA 25+ yrs; individual + business tax filing; no published email. Central WI
OK-tier,WI,Firm,Parrish & Freitag Ltd,Salem,,contact form,,Small business + individual accounting/tax across SE Wisconsin & N. Illinois; contact form only
OK-tier,WI,Firm,Vesta CPA,Fond du Lac,,contact form,,"Accounting, wealth, advisory across Fond du Lac, Sheboygan, Mequon, Madison; contact form only"
OK-tier,WI,Firm,Nohre & Co,Eau Claire,,contact form,,Audit/tax/consulting for closely-held owner-managed companies; also serves Minnesota; contact form only. Western WI
